distname,district_id,dist_grad,dist_grad_tot,dist_died,dist_ret_home_ctry,dist_college,dist_home_school,dist_rem_cps,dist_exp_no_ret,dist_enr_priv,dist_enr_non_tx_priv,dist_admin_withdrawn,dist_grad_hs_gone,dist_ged_non_tx,dist_univ_hs_dp,dist_grad_iceo_mil,dist_other_tot,dist_pregnancy,dist_med_inj,dist_crt_ord_no_ged,dist_fed_or_state_jail,dist_other,dist_drop_tot,leaver_count,enrollment_count,school_year
Wells ISD,037909,19,19,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,0,0,0,0,0,0,0.0,40.0,2023-24
Childress ISD,038901,67,67,1,0,0,14,0,0,0,1,0,0,0,0,0,16,-1,-1,-1,-1,-1,1,1.0,151.0,2023-24
Henrietta ISD,039902,64,64,1,1,0,8,0,0,4,19,0,0,0,0,0,33,0,0,0,0,0,0,0.0,161.0,2023-24
Petrolia CISD,039903,25,25,0,2,0,9,0,0,2,3,0,0,0,0,0,16,0,0,0,0,0,0,0.0,66.0,2023-24
Bellevue ISD,039904,13,13,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,0,0,0,0,0,0,0.0,30.0,2023-24
Midway ISD,039905,10,10,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,0,0,0,0,0,0,0.0,22.0,2023-24
Morton ISD,040901,14,14,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,1,1.0,31.0,2023-24
Whiteface CISD,040902,29,29,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,0,0,0,0,0,0,0.0,61.0,2023-24
Bronte ISD,041901,10,10,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,0,0,0,0,0,0,0.0,24.0,2023-24
Robert Lee ISD,041902,24,24,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,0,0,0,0,0,0,0.0,52.0,2023-24
Coleman ISD,042901,43,43,0,1,0,13,0,0,0,7,0,0,0,0,0,21,-1,-1,-1,-1,-1,2,2.0,109.0,2023-24
Santa Anna ISD,042903,17,17,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,0,0,0,0,0,0,0.0,38.0,2023-24
Panther Creek CISD,042905,11,11,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,0,0,0,0,0,0,0.0,24.0,2023-24
Imagine International Academy,043801,43,43,0,0,0,0,0,0,1,4,0,0,0,0,0,5,0,0,0,0,0,0,0.0,91.0,2023-24
Allen ISD,043901,"1,753","1,753",1,30,3,38,0,0,34,139,0,0,0,0,0,245,0,0,0,2,17,19,19.0,264.0,2023-24
Anna ISD,043902,328,328,0,8,0,43,0,0,2,52,0,0,0,0,0,105,0,0,0,0,33,33,33.0,794.0,2023-24
Celina ISD,043903,282,282,0,9,0,12,0,0,15,23,2,0,0,0,0,61,-1,-1,-1,-1,-1,3,3.0,628.0,2023-24
Farmersville ISD,043904,154,154,0,2,0,21,0,0,0,12,2,1,0,0,0,38,0,0,0,0,0,0,0.0,346.0,2023-24
Frisco ISD,043905,"5,225","5,225",5,129,32,67,0,0,97,408,2,0,0,1,0,741,0,1,0,0,44,45,45.0,786.0,2023-24
McKinney ISD,043907,"1,842","1,842",2,31,0,167,0,0,21,190,0,0,0,0,0,411,0,0,0,1,43,44,44.0,455.0,2023-24
Melissa ISD,043908,377,377,0,12,0,17,0,0,13,38,0,0,0,2,0,82,-1,-1,-1,-1,-1,4,4.0,840.0,2023-24
Plano ISD,043910,"3,577","3,577",4,122,10,74,1,0,90,292,8,0,1,0,0,602,0,0,1,0,188,189,189.0,791.0,2023-24
Princeton ISD,043911,513,513,0,13,0,48,0,0,4,58,2,0,0,0,0,125,0,0,13,0,10,23,23.0,1174.0,2023-24
Prosper ISD,043912,"1,569","1,569",0,45,3,25,0,0,28,137,0,0,0,1,0,239,0,0,0,0,16,16,16.0,255.0,2023-24
Wylie ISD,043914,"1,332","1,332",2,21,0,60,0,0,19,65,2,0,0,0,0,169,0,0,0,0,12,12,12.0,181.0,2023-24
Blue Ridge ISD,043917,67,67,0,0,0,10,0,0,0,11,0,0,0,0,0,21,0,0,0,0,0,0,0.0,155.0,2023-24
Community ISD,043918,247,247,1,6,0,19,0,0,1,28,1,0,0,0,0,56,0,0,3,0,12,15,15.0,565.0,2023-24
Lovejoy ISD,043919,379,379,0,2,0,2,0,0,18,23,0,0,0,0,0,45,0,0,0,0,0,0,0.0,803.0,2023-24
Wellington ISD,044902,38,38,0,0,0,1,0,0,0,5,0,0,0,0,0,6,0,0,0,0,0,0,0.0,82.0,2023-24
Columbus ISD,045902,135,135,0,1,0,12,0,0,1,2,0,0,0,0,0,16,0,0,0,1,6,7,7.0,293.0,2023-24
Rice CISD,045903,127,127,0,0,0,8,0,0,2,6,0,0,0,0,0,16,0,0,0,0,34,34,34.0,304.0,2023-24
Weimar ISD,045905,44,44,0,1,0,7,0,0,4,2,0,0,0,0,0,14,0,0,0,0,0,0,0.0,102.0,2023-24
Trinity Charter School,046802,51,51,0,0,0,3,0,0,0,12,0,0,0,0,0,15,0,0,0,0,116,116,116.0,233.0,2023-24
New Braunfels ISD,046901,714,714,2,9,0,32,10,0,19,39,1,1,0,0,0,113,0,0,0,0,57,57,57.0,1598.0,2023-24
Comal ISD,046902,"2,098","2,098",3,42,0,160,0,0,143,192,1,0,0,0,0,541,0,0,3,0,40,43,43.0,584.0,2023-24
Comanche ISD,047901,79,79,1,0,0,8,0,0,0,4,1,0,0,0,0,14,-1,-1,-1,-1,-1,1,1.0,173.0,2023-24
De Leon ISD,047902,53,53,0,0,0,11,0,0,0,3,0,0,0,0,0,14,0,0,0,0,0,0,0.0,120.0,2023-24
Gustine ISD,047903,6,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,0,0,0,0,0,0,0.0,15.0,2023-24
Sidney ISD,047905,9,9,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,0,0,0,0,0,0,0.0,22.0,2023-24
Eden CISD,048901,19,19,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,0,0,0,0,0,0,0.0,42.0,2023-24
Paint Rock ISD,048903,16,16,0,1,0,2,0,0,0,5,1,0,0,0,0,9,0,0,0,0,11,11,11.0,52.0,2023-24
Gainesville ISD,049901,180,180,0,7,0,53,0,0,2,17,0,0,0,0,0,79,-1,-1,-1,-1,-1,3,3.0,442.0,2023-24
Muenster ISD,049902,36,36,0,0,0,5,0,0,3,1,0,0,0,0,0,9,0,0,0,0,0,0,0.0,81.0,2023-24
Valley View ISD,049903,62,62,1,4,0,16,0,0,1,6,0,0,0,0,0,28,-1,-1,-1,-1,-1,3,3.0,155.0,2023-24
Callisburg ISD,049905,77,77,0,2,0,26,0,0,1,7,0,0,0,0,0,36,0,0,0,0,0,0,0.0,190.0,2023-24
Era ISD,049906,40,40,0,1,0,4,0,0,0,1,0,0,0,0,0,6,-1,-1,-1,-1,-1,1,1.0,87.0,2023-24
Lindsay ISD,049907,29,29,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,0,0,0,0,0,0,0.0,60.0,2023-24
Walnut Bend ISD,049908,.,0,.,.,.,.,.,.,.,.,.,.,.,.,.,0,.,.,.,.,.,0,0.0,0.0,2023-24
Sivells Bend ISD,049909,.,0,.,.,.,.,.,.,.,.,.,.,.,.,.,0,.,.,.,.,.,0,0.0,0.0,2023-24
Evant ISD,050901,10,10,0,0,0,5,0,0,0,1,0,0,0,0,0,6,0,0,0,0,0,0,0.0,26.0,2023-24
Gatesville ISD,050902,173,173,0,5,0,29,0,0,0,14,0,0,0,0,0,48,0,0,0,0,14,14,14.0,408.0,2023-24
Oglesby ISD,050904,13,13,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,0,0,0,0,0,0,0.0,27.0,2023-24
Jonesboro ISD,050909,19,19,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0.0,43.0,2023-24
Copperas Cove ISD,050910,554,554,2,6,0,78,0,0,2,125,0,0,0,0,0,213,0,0,0,0,37,37,37.0,1358.0,2023-24
Paducah ISD,051901,12,12,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,0,0,0,0,0,0,0.0,26.0,2023-24
Crane ISD,052901,82,82,0,7,0,8,0,0,0,7,1,0,0,0,0,23,-1,-1,-1,-1,-1,2,2.0,189.0,2023-24
Crockett County Consolidated CSD,053001,68,68,0,0,0,8,0,0,0,1,0,0,0,0,0,9,0,0,0,0,0,0,0.0,145.0,2023-24
Crosbyton CISD,054901,21,21,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,0,0,0,0,0,0,0.0,46.0,2023-24
Lorenzo ISD,054902,16,16,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,-1,-1,-1,-1,-1,1,1.0,37.0,2023-24
Ralls ISD,054903,34,34,0,0,0,7,0,0,1,3,0,0,0,0,0,11,-1,-1,-1,-1,-1,3,3.0,82.0,2023-24
Culberson County-Allamoore ISD,055901,24,24,0,0,0,14,0,0,0,5,0,0,0,0,0,19,0,0,0,0,0,0,0.0,67.0,2023-24
Dalhart ISD,056901,103,103,0,5,0,13,0,0,0,21,0,0,0,0,0,39,0,0,0,0,0,0,0.0,245.0,2023-24
Texline ISD,056902,9,9,0,0,0,1,0,0,0,5,0,0,0,0,0,6,0,0,0,0,0,0,0.0,24.0,2023-24
Pegasus School of Liberal Arts,057802,27,27,0,0,0,2,0,0,0,6,0,0,0,0,0,8,0,0,0,0,0,0,0.0,62.0,2023-24
Uplift Education,057803,"1,026","1,026",2,15,0,9,0,4,30,41,1,0,0,0,0,102,1,0,0,0,133,134,134.0,236.0,2023-24
Texans Can Academies,057804,"1,053","1,053",4,4,0,0,0,16,3,1,0,0,0,0,0,28,0,0,0,0,"2,441","2,441",0.0,28.0,2023-24
Advantage Academy,057806,30,30,0,3,0,3,0,0,0,7,0,0,0,0,0,13,-1,-1,-1,-1,-1,1,1.0,74.0,2023-24
Life School,057807,324,324,1,1,0,13,0,13,0,6,0,0,0,0,0,34,0,0,0,0,0,0,0.0,682.0,2023-24
Universal Academy,057808,27,27,0,6,0,0,0,0,4,6,3,0,0,0,0,19,0,0,0,0,0,0,0.0,73.0,2023-24
Academy of Dallas,057810,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,0,0,0,0,0,0,0.0,1.0,2023-24
Trinity Basin Preparatory,057813,60,60,0,1,0,15,0,4,8,3,2,0,0,0,0,33,-1,-1,-1,-1,-1,2,2.0,155.0,2023-24
Academy for Academic Excellence,057814,0,0,0,1,0,0,0,0,4,13,2,0,0,0,0,20,0,0,0,9,149,158,158.0,178.0,2023-24
AW Brown Leadership Academy,057816,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,0,0,0,0,0,0,0.0,2.0,2023-24
Jean Massieu Academy,057819,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,10.0,2023-24
Nova Academy Southeast,057827,.,0,.,.,.,.,.,.,.,.,.,.,.,.,.,0,.,.,.,.,.,0,0.0,0.0,2023-24
Winfree Academy Charter Schools,057828,405,405,0,23,0,93,2,7,75,24,0,0,0,0,0,224,0,0,0,0,231,231,231.0,1265.0,2023-24
A+ Academy,057829,85,85,0,1,0,5,0,1,1,1,0,0,0,0,0,9,-1,-1,-1,-1,-1,1,1.0,180.0,2023-24
Inspired Vision Academy,057830,72,72,0,3,0,3,0,3,8,4,0,0,0,0,0,21,-1,-1,-1,-1,-1,3,3.0,168.0,2023-24
Gateway Charter Academy,057831,35,35,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,0,0,0,0,0,0,0.0,72.0,2023-24
Evolution Academy Charter School,057834,250,250,2,1,0,37,0,0,0,5,0,0,0,0,0,45,0,0,0,3,73,76,76.0,621.0,2023-24
Golden Rule Charter School,057835,11,11,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,1,1.0,24.0,2023-24
St Anthony School,057836,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,0,0,0,0,0,0,0.0,3.0,2023-24
La Academia De Estrellas,057839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,1,1.0,1.0,2023-24
Richland Collegiate HS,057840,119,119,0,0,0,4,0,0,0,1,0,0,0,0,0,5,0,0,0,0,0,0,0.0,243.0,2023-24
Cityscape Schools,057841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,4,4.0,4.0,2023-24
Manara Academy,057844,15,15,0,2,0,1,0,0,2,5,0,0,0,0,0,10,-1,-1,-1,-1,-1,1,1.0,41.0,2023-24
UME Preparatory Academy,057845,85,85,0,0,0,9,0,0,2,1,0,0,0,0,0,12,0,0,0,0,0,0,0.0,182.0,2023-24
Legacy Preparatory,057846,59,59,1,1,0,3,0,0,0,1,0,0,0,0,0,6,0,0,0,0,6,6,6.0,130.0,2023-24
Village Tech Schools,057847,58,58,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,0,0,0,0,0,0,0.0,118.0,2023-24
International Leadership of Texas,057848,782,782,2,37,0,48,0,20,29,106,1,1,0,0,0,244,0,0,0,0,10,10,10.0,1818.0,2023-24
Pioneer Technology and Arts,057850,106,106,0,1,0,26,0,0,7,13,0,0,0,0,0,47,0,0,0,0,0,0,0.0,259.0,2023-24
Carrollton-Farmers Branch ISD,057903,"1,632","1,632",7,46,0,38,0,0,10,183,7,0,0,3,0,294,1,1,0,0,165,167,167.0,461.0,2023-24
Cedar Hill ISD,057904,589,589,1,6,0,1,0,0,5,34,0,0,0,0,0,47,0,0,0,1,68,69,69.0,1294.0,2023-24
Dallas ISD,057905,"8,487","8,487",14,384,1,122,3,0,106,586,1,1,0,1,0,"1,219",2,1,1,5,"2,063","2,072",0.0,0.0,2023-24
Desoto ISD,057906,468,468,0,8,0,5,2,0,1,61,14,0,1,0,0,92,0,0,1,0,54,55,55.0,1083.0,2023-24
Duncanville ISD,057907,"1,067","1,067",4,19,0,31,1,0,14,51,0,0,0,0,0,120,0,0,0,0,169,169,169.0,289.0,2023-24
Garland ISD,057909,"3,898","3,898",9,130,0,251,0,0,25,217,2,1,0,0,0,635,20,2,0,11,301,334,334.0,969.0,2023-24
Grand Prairie ISD,057910,"2,191","2,191",1,53,0,51,0,0,14,142,1,0,0,0,0,262,3,0,0,2,223,228,228.0,490.0,2023-24
Highland Park ISD,057911,550,550,0,2,0,4,0,0,55,35,0,0,0,0,0,96,-1,-1,-1,-1,-1,4,4.0,1200.0,2023-24
Irving ISD,057912,"2,104","2,104",1,168,0,38,0,0,70,216,0,0,0,0,0,493,0,0,0,1,150,151,151.0,644.0,2023-24
Lancaster ISD,057913,560,560,1,5,0,9,1,0,9,21,2,0,0,0,0,48,-1,-1,-1,-1,-1,2,2.0,1170.0,2023-24
Mesquite ISD,057914,"2,913","2,913",5,47,0,158,0,0,138,176,0,0,1,0,0,525,0,0,3,1,183,187,187.0,712.0,2023-24
Richardson ISD,057916,"2,583","2,583",5,63,1,21,0,0,48,201,0,2,0,1,0,342,0,0,0,0,389,389,389.0,731.0,2023-24
Sunnyvale ISD,057919,190,190,0,2,0,5,0,0,4,6,0,0,0,0,0,17,0,0,0,0,0,0,0.0,397.0,2023-24
Coppell ISD,057922,"1,061","1,061",2,49,16,12,1,0,19,68,0,0,0,0,0,167,0,0,0,0,6,6,6.0,173.0,2023-24
Dawson ISD,058902,7,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,0,0,0,0,0,0,0.0,17.0,2023-24
Klondike ISD,058905,12,12,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,0,0,0,0,0,0,0.0,26.0,2023-24
Lamesa ISD,058906,124,124,0,0,0,22,0,0,0,2,0,0,0,0,0,24,-1,-1,-1,-1,-1,4,4.0,276.0,2023-24
Sands CISD,058909,23,23,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,0,0,0,0,0,0,0.0,49.0,2023-24
Hereford ISD,059901,269,269,1,9,0,43,0,0,0,26,0,0,0,0,0,79,0,0,0,0,13,13,13.0,630.0,2023-24
Cooper ISD,060902,54,54,0,3,0,5,0,0,0,1,0,0,0,0,0,9,0,0,0,0,0,0,0.0,117.0,2023-24
Fannindel ISD,060914,9,9,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,-1,-1,-1,-1,-1,3,3.0,25.0,2023-24
North Texas Collegiate Academy,061802,0,0,0,1,0,4,0,0,0,1,0,0,0,0,0,6,0,0,0,0,0,0,0.0,6.0,2023-24
Leadership Prep School,061804,86,86,0,3,0,5,0,0,4,4,2,0,0,0,0,18,-1,-1,-1,-1,-1,3,3.0,193.0,2023-24
Trivium Academy,061805,14,14,0,1,0,5,0,0,5,5,0,0,0,0,0,16,0,0,0,0,0,0,0.0,44.0,2023-24
Denton ISD,061901,"2,314","2,314",7,47,3,270,4,0,20,300,2,0,0,3,0,656,0,0,0,10,35,45,45.0,701.0,2023-24
Lewisville ISD,061902,"4,141","4,141",5,84,10,47,0,0,44,316,2,2,0,0,0,510,0,0,6,1,195,202,202.0,712.0,2023-24
Pilot Point ISD,061903,110,110,0,2,0,11,0,0,0,7,0,0,0,0,0,20,0,0,0,0,8,8,8.0,248.0,2023-24
Krum ISD,061905,166,166,0,6,0,13,0,0,1,18,0,0,0,0,0,38,0,0,0,0,7,7,7.0,377.0,2023-24
Ponder ISD,061906,135,135,0,1,1,5,0,0,1,8,0,0,0,0,0,16,-1,-1,-1,-1,-1,2,2.0,288.0,2023-24
Aubrey ISD,061907,240,240,0,5,0,16,0,0,5,24,0,0,0,0,0,50,0,0,0,0,5,5,5.0,535.0,2023-24
Sanger ISD,061908,190,190,0,4,1,15,0,0,2,18,0,0,0,0,0,40,0,0,0,0,6,6,6.0,426.0,2023-24
Argyle ISD,061910,342,342,0,10,0,11,1,0,31,20,0,0,0,1,0,74,0,0,0,0,0,0,0.0,758.0,2023-24
Northwest ISD,061911,"2,042","2,042",3,41,0,120,0,0,53,252,0,0,1,0,0,470,0,0,5,0,55,60,60.0,530.0,2023-24
Lake Dallas ISD,061912,296,296,0,8,0,21,0,0,4,16,0,0,0,0,0,49,0,0,0,0,5,5,5.0,646.0,2023-24
Little Elm ISD,061914,607,607,0,13,0,30,0,0,2,66,0,0,0,0,0,111,0,0,0,0,19,19,19.0,1344.0,2023-24
Cuero ISD,062901,144,144,1,0,0,22,0,0,9,7,0,0,0,0,0,39,-1,-1,-1,-1,-1,1,1.0,328.0,2023-24
Nordheim ISD,062902,10,10,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,0,0,0,0,0,0,0.0,23.0,2023-24
Yoakum ISD,062903,0,0,0,4,0,15,0,1,0,4,0,0,0,0,0,24,0,0,0,0,0,0,0.0,24.0,2023-24
Yorktown ISD,062904,36,36,0,0,0,9,0,0,0,0,0,0,0,0,0,9,-1,-1,-1,-1,-1,4,4.0,85.0,2023-24
Westhoff ISD,062905,.,0,.,.,.,.,.,.,.,.,.,.,.,.,.,0,.,.,.,.,.,0,0.0,0.0,2023-24
Meyersville ISD,062906,.,0,.,.,.,.,.,.,.,.,.,.,.,.,.,0,.,.,.,.,.,0,0.0,0.0,2023-24
Spur ISD,063903,22,22,0,0,0,5,0,0,0,2,0,0,0,0,0,7,0,0,0,0,0,0,0.0,51.0,2023-24
Patton Springs ISD,063906,4,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,0,0,0,0,0,0,0.0,10.0,2023-24
Carrizo Springs CISD,064903,111,111,1,1,0,9,0,0,0,11,0,0,0,0,0,22,0,0,0,1,16,17,17.0,261.0,2023-24
Clarendon ISD,065901,33,33,0,0,0,11,0,0,0,4,0,0,0,0,0,15,0,0,0,0,0,0,0.0,81.0,2023-24
Hedley ISD,065902,5,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,0,0,0,0,0,0,0.0,11.0,2023-24
Benavides ISD,066901,28,28,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,0,0,0,0,0,0,0.0,58.0,2023-24
San Diego ISD,066902,115,115,1,1,0,9,0,0,1,2,1,0,0,0,0,15,0,0,0,0,5,5,5.0,250.0,2023-24
Freer ISD,066903,43,43,0,0,0,6,0,0,0,1,0,0,0,0,0,7,-1,-1,-1,-1,-1,3,3.0,96.0,2023-24
Cisco ISD,067902,72,72,0,1,0,13,0,0,1,1,0,0,0,0,0,16,0,0,0,0,0,0,0.0,160.0,2023-24
Eastland ISD,067903,82,82,1,2,0,13,0,0,0,6,0,0,0,0,0,22,-1,-1,-1,-1,-1,1,1.0,187.0,2023-24
Gorman ISD,067904,15,15,0,3,0,3,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0.0,36.0,2023-24
Ranger ISD,067907,27,27,0,0,0,8,0,0,0,1,0,0,0,0,0,9,-1,-1,-1,-1,-1,3,3.0,66.0,2023-24
Rising Star ISD,067908,9,9,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,0,0,0,0,0,0,0.0,22.0,2023-24
Compass Academy Charter School,068802,78,78,0,1,0,2,0,0,3,3,0,0,0,0,0,9,0,0,0,0,0,0,0.0,165.0,2023-24
Ector County ISD,068901,"1,940","1,940",10,142,0,297,0,0,26,225,0,0,0,1,0,701,0,0,0,3,309,312,312.0,1013.0,2023-24
Rocksprings ISD,069901,23,23,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,-1,-1,-1,-1,-1,2,2.0,51.0,2023-24
Nueces Canyon CISD,069902,12,12,0,0,0,3,0,0,0,4,0,0,0,0,0,7,0,0,0,0,0,0,0.0,31.0,2023-24
Faith Family Academy,070801,154,154,1,6,0,1,0,0,2,13,0,0,0,0,0,23,-1,-1,-1,-1,-1,1,1.0,332.0,2023-24
Avalon ISD,070901,23,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,46.0,2023-24
Ennis ISD,070903,427,427,0,3,0,52,0,0,0,34,0,0,4,0,0,93,-1,-1,-1,-1,-1,2,2.0,949.0,2023-24
Ferris ISD,070905,202,202,0,3,0,12,0,0,1,12,1,0,0,0,0,29,-1,-1,-1,-1,-1,1,1.0,434.0,2023-24
Italy ISD,070907,49,49,0,2,0,11,0,0,0,4,1,0,0,0,0,18,-1,-1,-1,-1,-1,2,2.0,118.0,2023-24
Midlothian ISD,070908,833,833,0,11,0,39,0,0,10,55,0,0,0,0,0,115,0,0,0,0,14,14,14.0,1795.0,2023-24
Milford ISD,070909,23,23,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,-1,-1,-1,-1,-1,2,2.0,51.0,2023-24
Palmer ISD,070910,76,76,0,2,0,19,0,0,1,6,0,0,0,0,0,28,-1,-1,-1,-1,-1,1,1.0,181.0,2023-24
Red Oak ISD,070911,458,458,0,6,0,18,1,0,7,32,0,0,0,0,0,64,0,0,0,0,38,38,38.0,1018.0,2023-24
Waxahachie ISD,070912,938,938,2,4,0,55,0,1,14,56,1,0,0,0,0,133,0,0,0,0,32,32,32.0,2041.0,2023-24
Maypearl ISD,070915,90,90,0,0,0,1,0,0,3,3,0,0,0,0,0,7,0,0,0,0,7,7,7.0,194.0,2023-24
Burnham Wood Charter School,071801,103,103,0,17,0,0,0,0,5,14,0,0,0,0,0,36,-1,-1,-1,-1,-1,1,1.0,243.0,2023-24
Triumph Public HS-El Paso,071803,99,99,0,24,0,2,0,0,1,28,0,0,0,0,0,55,0,0,0,0,16,16,16.0,269.0,2023-24
El Paso Academy,071804,209,209,0,8,0,3,0,0,3,4,0,0,0,0,0,18,0,0,0,0,41,41,41.0,477.0,2023-24
Harmony Public Schools-West Texas,071806,140,140,1,6,0,16,0,2,8,49,0,0,1,0,0,83,-1,-1,-1,-1,-1,1,1.0,364.0,2023-24
Vista Del Futuro Charter School,071809,.,0,.,.,.,.,.,.,.,.,.,.,.,.,.,0,.,.,.,.,.,0,0.0,0.0,2023-24
El Paso Leadership Academy,071810,0,0,0,38,0,3,0,0,3,8,0,0,0,0,0,52,-1,-1,-1,-1,-1,3,3.0,55.0,2023-24
Clint ISD,071901,844,844,2,33,0,11,0,0,5,72,0,0,1,0,0,124,0,0,25,2,35,62,62.0,1874.0,2023-24
El Paso ISD,071902,"3,494","3,494",1,280,0,98,0,0,42,551,0,2,2,0,0,976,0,0,6,0,496,502,502.0,1478.0,2023-24
Fabens ISD,071903,133,133,0,11,0,0,0,0,0,11,0,0,0,0,0,22,0,0,7,0,27,34,34.0,322.0,2023-24
San Elizario ISD,071904,219,219,0,25,0,9,0,0,1,12,2,0,0,0,0,49,0,1,4,0,24,29,29.0,516.0,2023-24
Ysleta ISD,071905,"2,824","2,824",2,173,0,43,0,0,17,200,1,1,0,0,0,437,0,0,5,0,186,191,191.0,628.0,2023-24
Anthony ISD,071906,60,60,0,4,0,1,0,0,0,13,0,0,0,0,0,18,-1,-1,-1,-1,-1,2,2.0,140.0,2023-24
Canutillo ISD,071907,450,450,0,23,1,18,0,0,1,75,0,0,0,0,0,118,0,0,2,2,22,26,26.0,1044.0,2023-24
Tornillo ISD,071908,77,77,1,4,0,0,0,0,0,2,0,0,0,0,0,7,0,0,4,0,2,6,6.0,167.0,2023-24
Socorro ISD,071909,"3,688","3,688",3,138,0,92,0,0,20,370,3,0,0,0,0,626,0,3,16,0,243,262,262.0,888.0,2023-24
Premier HS,072801,"2,620","2,620",11,193,0,"1,503",0,8,21,89,0,0,0,0,0,"1,825",2,0,0,3,794,799,799.0,799.0,2023-24
Erath Excels Academy Inc,072802,35,35,0,0,0,20,0,2,3,3,0,0,0,0,0,28,0,0,0,0,40,40,40.0,138.0,2023-24
Three Way ISD,072901,11,11,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,0,0,0,0,0,0,0.0,23.0,2023-24
Dublin ISD,072902,78,78,0,2,0,6,0,0,1,0,0,0,0,0,0,9,0,0,0,0,0,0,0.0,165.0,2023-24
Stephenville ISD,072903,279,279,0,4,0,23,0,0,9,15,0,0,0,0,0,51,-1,-1,-1,-1,-1,2,2.0,611.0,2023-24
Bluff Dale ISD,072904,16,16,0,0,0,3,0,0,1,6,0,0,0,0,0,10,0,0,0,0,0,0,0.0,42.0,2023-24
Huckabay ISD,072908,13,13,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,0,0,0,0,0,0,0.0,29.0,2023-24
Lingleville ISD,072909,22,22,0,0,0,4,0,0,2,1,0,0,0,0,0,7,0,0,0,0,0,0,0.0,51.0,2023-24
Morgan Mill ISD,072910,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,0,0,0,0,0,0,0.0,1.0,2023-24
Chilton ISD,073901,43,43,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,-1,-1,-1,-1,-1,1,1.0,90.0,2023-24
Marlin ISD,073903,56,56,0,0,0,4,0,0,0,5,0,0,0,0,0,9,-1,-1,-1,-1,-1,2,2.0,123.0,2023-24
